Datum;Typ;Wert;Buchungswährung;Steuern;Stück;ISIN;WKN;Ticker-Symbol;Wertpapiername;Notiz
2019-01-01T00:00;Einlage;10.000,00;EUR;;;;;;;
2019-01-07T00:00;Kauf;-2.946,83;EUR;;;IE00B4WXJJ64;A0RL83;EUNH;iShares Core Euro Government Bond UCITS ETF (Dist);
2019-01-07T00:00;Kauf;-1.330,25;EUR;;;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2019-01-07T00:00;Kauf;-2.122,72;EUR;;;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2019-01-07T00:00;Kauf;-1.635,28;EUR;;;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2019-01-07T00:00;Kauf;-486,40;EUR;;;LU0392495023;ETF114;X014;Lyxor MSCI Pacific UCITS ETF;
2019-01-08T00:00;Kauf;-1.408,43;EUR;;;IE00BDFL4P12;A2DK6R;SXRS;iShares Diversified Commodity Swap UCITS ETF;
2019-08-12T00:00;Dividende;8,70;EUR;2,90;10;LU0392495023;ETF114;X014;Lyxor MSCI Pacific UCITS ETF;
2020-08-10T00:00;Dividende;7,50;EUR;2,50;10;LU0392495023;ETF114;X014;Lyxor MSCI Pacific UCITS ETF;
2019-03-12T00:00;Dividende;4,98;EUR;1,65;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2019-06-12T00:00;Dividende;4,68;EUR;1,56;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2019-09-12T00:00;Dividende;4,98;EUR;1,65;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2019-12-18T00:00;Dividende;4,98;EUR;1,65;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2020-03-16T00:00;Dividende;5,27;EUR;1,75;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2020-06-11T00:00;Dividende;4,98;EUR;1,65;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2020-09-16T00:00;Dividende;4,10;EUR;1,36;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2020-12-16T00:00;Dividende;4,10;EUR;1,36;39;IE00B14X4M10;A0J201;IQQN;iShares MSCI North America UCITS ETF;
2019-03-11T00:00;Dividende;3,84;EUR;1,28;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2020-12-07T00:00;Dividende;4,32;EUR;1,44;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2020-09-17T00:00;Dividende;15,36;EUR;5,12;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2020-06-18T00:00;Dividende;6,72;EUR;2,24;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2020-03-04T00:00;Dividende;3,84;EUR;1,28;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2019-12-16T00:00;Dividende;3,36;EUR;1,12;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2019-09-27T00:00;Dividende;18,24;EUR;6,08;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2019-06-13T00:00;Dividende;6,72;EUR;2,24;64;IE00B0M63177;A0HGWC;IQQE;iShares MSCI EM UCITS ETF (Dist);
2019-06-11T00:00;Dividende;7,92;EUR;2,64;24;IE00B4WXJJ64;A0RL83;EUNH;iShares Core Euro Government Bond UCITS ETF (Dist);
2020-01-09T00:00;Dividende;6,84;EUR;2,28;24;IE00B4WXJJ64;A0RL83;EUNH;iShares Core Euro Government Bond UCITS ETF (Dist);
2020-06-10T00:00;Dividende;4,50;EUR;1,50;24;IE00B4WXJJ64;A0RL83;EUNH;iShares Core Euro Government Bond UCITS ETF (Dist);
2019-05-14T00:00;Dividende;13,27;EUR;4,42;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2019-08-05T00:00;Dividende;12,81;EUR;4,27;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2019-11-14T00:00;Dividende;5,95;EUR;1,98;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2020-02-20T00:00;Dividende;3,20;EUR;1,07;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2020-05-12T00:00;Dividende;8,69;EUR;2,90;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2020-08-24T00:00;Dividende;7,32;EUR;2,44;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
2020-11-25T00:00;Dividende;3,66;EUR;1,22;61;IE00B1YZSC51;A0MZWQ;IQQY;iShares Core MSCI Europe UCITS ETF EUR (Dist);
